Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
KFC,https://www.zomato.com/kolkata/kfc-park-street-area,"Burger, Fast Food, Biryani, Desserts, Beverages","Park Street Area, Kolkata","12midnight – 3am, 11am – 12midnight (Today)","20K, Park Street Area, Kolkata",9.13334E+11,1,1,1,0,4.2,2005,4.2,17200,,"Strawberry Storm, Crispy Chicken Bucket, Meal Box, Chicken Popcorn, Chicken Strips, Sundae","Nice Crowd, Cute Little Place, Cozy Ambiance, Elegantly Decorated, Great Recommendations, Prime Location",400
Pizza Hut,https://www.zomato.com/kolkata/pizza-hut-1-park-street-area,"Pizza, Fast Food, Desserts, Beverages","Park Street Area, Kolkata",Opens at 11am,"20 K, Sir William Jones Sarani, Park Street Area, Kolkata",18002022022,1,1,1,0,3.4,120,3.9,5047,,,"Atmosphere, Student Crowd, Best Food under Best Budget, Elaborate Menu, Customizable Food, Young Crowd",600
Kwality Wall’s Frozen Dessert and Ice Cream Shop,https://www.zomato.com/kolkata/kwality-walls-frozen-dessert-and-ice-cream-shop-park-circus-area,"Ice Cream, Desserts","Park Circus Area, Kolkata",,"12, Ground Floor, Gora Chand Road, Park Circus Area, Kolkata",9.19088E+11,1,0,0,1,-,0,4.5,2174,,,,100
Kasturi Restaurant,https://www.zomato.com/kolkata/kasturi-restaurant-new-market-area,"Bengali, Bangladeshi, Fast Food, Desserts","New Market Area, Kolkata",Opens at 11am,"7A, Mustaque Ahmed Street, New Market Area, Kolkata",9.18335E+11,1,1,1,0,4.4,1114,4,8666,Dhakai cuisine to satisfy the tastebuds with a combination of Bengali and Bangladeshi dishes,"Kachu Pata Chingri, Bhetki Bhapa, Chitol Muitha, Chicken Dak Bunglow, Prawn Malai Curry, Vetki Paturi","Authentic Food, Chair, Family Place, Packed on Weekends, Authentic Taste, Quick Service",800
Monginis,https://www.zomato.com/kolkata/monginis-6-college-street,"Bakery, Desserts, Fast Food","College Street, Kolkata",Opens at 8:01am,"131, Ground Floor, Chittaranjan Avenue, College Street, Kolkata",9.19063E+11,1,1,0,0,-,0,4,206,,,,50
Haldiram's Prabhuji,https://www.zomato.com/kolkata/haldirams-prabhuji-bara-bazar,"Mishti, South Indian, Street Food, Chinese, Fast Food, North Indian, Beverages","Bara Bazar, Kolkata",Opens at 7am,"7, Jagmohan Mullick Lane, Bara Bazar, Kolkata",9.1983E+11,1,1,1,1,3.9,367,4,8856,,"Soan Papdi, Barfi, Hot Gulab Jamun, Chole, Chaat, Dosa","Hygienic Place, Good Place, Good Food, Prices, Staff, Quality",300
Pocket Meal 99,https://www.zomato.com/kolkata/pocket-meal-99-bhawanipur,"Bengali, Biryani, North Indian, Chinese, Fast Food","Bhawanipur, Kolkata",,"54, Harish Mukherjee Road, LP UG, Borough VII, Bhowanipur, Bhawanipur, Kolkata",9.19074E+11,1,0,0,0,-,0,3.8,5821,,,"Portion, Quantity, Good Food, Price, Packaging",200
Burger King,https://www.zomato.com/kolkata/burger-king-new-market-area,"Burger, Fast Food, Beverages","New Market Area, Kolkata",Opens at 9am,"1, Ground Floor, Humayun Place, New Market Area, Kolkata",9.18977E+11,1,1,1,0,4.1,418,4.1,2711,,"French Fry, Peri Peri Fries, Shake, Fries, Burger","Perfect Presentation, Tamper Proof Packaging, Good Wifi, Wonderful Presentation, Best Place, Contactless Delivery",350
Oudh 1590,https://www.zomato.com/kolkata/oudh-1590-desapriya-park,"Biryani, Kebab, Awadhi, Mughlai","Desapriya Park, Kolkata",Opens at 12noon,"Shop 23/B, Desapriya Park, Kolkata",9.17604E+11,1,1,1,0,4.5,6454,4.1,7649,,"Awadhi Dum Aloo, Murg Handi Biryani, Gosht Roghan Josh, Badam Sherbet, Galouti Kebab Platter, Gelawati Kebab","Authentic Ambience, Value for Money Experience, Dress Code, Elegant Decor, Impressive Decor, Royal Ambience",1200
Balaram Mullick & Radharaman Mullick Sweets,https://www.zomato.com/kolkata/balaram-mullick-radharaman-mullick-sweets-theatre-road,"Mishti, Desserts, Fast Food, Street Food","Theatre Road, Kolkata",Opens at 10am,"5/2, Ground Floor, Poonam Building, Anandilal Poddar Sarani, Theatre Road, Kolkata",9.16292E+11,1,1,0,0,2.7,6,4.3,5158,The pioneers of baked rossogolla,"Baked Sandesh, Mango Souffle, Mango Doi, Baked Rosogolla, Aam Doi, Bengali Sweets","Packing, Worth the Money, Prices, Food",300
Kabuliwala,https://www.zomato.com/kolkata/kabuliwala-ballygunge,"Biryani, North Indian, Rolls","Ballygunge, Kolkata",,"13/5, Anil Maitra Road, Ballygunge, Kolkata",9.17676E+11,1,0,0,0,-,0,4,418,,,,200
Haldiram's,https://www.zomato.com/kolkata/haldirams-bara-bazar,"North Indian, Fast Food, South Indian, Street Food, Chinese, Desserts, Beverages, Mishti","Bara Bazar, Kolkata",Opens at 10am,"11B, Ground Floor, Dr. Ram Manohar Lohia Sarani, Ward 22, Bara Bazar, Kolkata",9.19073E+11,1,1,1,1,3.6,26,3.9,55,,,,300
Jai Jawan Stall,https://www.zomato.com/kolkata/jai-jawan-stall-tara-tala,"North Indian, Chinese, Mughlai, Rolls","Tara Tala, Kolkata",Opens at 11am,"1, Near CESC, Taratala Road, Tara Tala, Kolkata",9.13324E+11,1,1,1,0,4.1,1017,4,47400,,"Chicken Chowmein, Egg Roll, Rolls, Chicken Fried Rice, Thali, Fish Fry","Inexpensive, Lip Smacking Food, Good Delivery, Mixed Rice, Great Recommendations, Fast Delivery",500
Subway,https://www.zomato.com/kolkata/subway-park-street-area,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps","Park Street Area, Kolkata","12midnight – 4am, 9am – 12midnight (Today)","57A, Park Mansion, Park Street Area, Kolkata",9.1334E+11,1,1,1,0,4,476,3.9,10800,,"Aloo Patty, Wraps, Sandwiches, Salads","Elegantly Decorated, Great Ambiance, Polite Staff, Low Price, Prompt Service, Best Place",400
Mama Mia!,https://www.zomato.com/kolkata/mama-mia-entally,"Ice Cream, Desserts, Beverages","Entally, Kolkata",,"79/28, Acharya Jagadish Chandra Bose Road, Entally, Kolkata",9.1983E+11,1,0,0,0,-,0,4.4,1421,,,,300
Gupta Brothers,https://www.zomato.com/kolkata/gupta-brothers-elgin,"Mishti, North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages, Shake","Elgin, Kolkata",Opens at 7:30am,"82A, Sambhunath Pandit Street, Elgin, Kolkata",9.181E+11,1,1,0,1,3.5,2,4.1,8643,,"Rose Milk, Chamcham, Dhokla, Sandesh, Dahi Vada, Kulfi","Cozy Ambiance, Great Recommendations, Combos, Prompt Service, Good Taste, Best Place",450
Haji Saheb,https://www.zomato.com/kolkata/haji-saheb-park-circus-area,"Biryani, Mughlai, Chinese, North Indian, Kerala","Park Circus Area, Kolkata",Opens at 12noon,"26, Circus Avenue, Park Circus Area, Kolkata",9.19039E+11,1,1,1,0,4.1,970,4.1,9077,Reasonably prices North Indian dishes,"Prawn Butter Masala, Chicken Lababdar, Mughlai Food, Firni, Mutton Kosha, Chicken Tandoori","Good for Large Groups, Affordable, Gastronomical Experience, Family Place, Good Value, Courteous Staff",800
La Pino’z Pizza,https://www.zomato.com/kolkata/la-pinoz-pizza-camac-street-area,"Pizza, Fast Food, Beverages","Camac Street Area, Kolkata",10am – 4am (Today),"10, Wood Street, Park Street, Shakespere Sarani, Camac Street Area, Kolkata",9.17568E+11,1,1,1,0,3.3,73,3.8,9252,,"Pizza Del Duca, Tandoori Pizza, Paneer Pizza, Pie, Mushroom, White Sauce Pasta","Hygienic Food, Variety of Pizza, Tamper Proof Packaging, Yummy Food, Mouth Watering Food, Contactless Delivery",800
Shimla Biryani,https://www.zomato.com/kolkata/shimla-biryani-topsia,"Biryani, Mughlai, Fast Food, North Indian, Kebab, Chinese","Topsia, Kolkata",Opens at 11am,"11/1, Topsia, Kolkata",9.19748E+11,1,1,1,0,4.1,789,4.1,31800,,"Murg Reshmi Kabab, Chicken Chaanp, Phirni, Rolls, Kebab","Seating Inside, Good for Large Groups, Courteous Service, Cleanliness, Good Quantity, Portion Size",750
NIC - Natural Ice Creams,https://www.zomato.com/kolkata/nic-natural-ice-creams-bhawanipur,"Ice Cream, Desserts","Bhawanipur, Kolkata",Opens at 12noon,"Shop 23/4 A, Ray Street, Near Leap Years Preschool, Bhawanipur, Kolkata",9.1629E+11,1,1,0,0,-,0,4.5,3128,,,,100
The Biryani Inc.,https://www.zomato.com/kolkata/the-biryani-inc-kasba,"Biryani, Mughlai, Afghan","Kasba, Kolkata",,"15A, Swinhoe Lane, New Ballygunge, Kasba, Kolkata",9.17596E+11,1,0,0,0,-,0,4.1,8899,,"Tangdi Chicken, Tangdi Kabab, Chicken Tikka Biryani, Phirni, Mutton Kasha, Raita","Best Food, Tasty, Worth the Money, Good Taste, Food Presentation, Combo",200
Al Baik Fast Food Corner,https://www.zomato.com/kolkata/al-baik-fast-food-corner-bara-bazar,"Biryani, Rolls, North Indian, Chinese, Kebab, Fast Food, Street Food, Roast Chicken","Bara Bazar, Kolkata",Opens at 11am,"54, Phears Lane, Bara Bazar, Kolkata",9.19837E+11,1,1,0,0,-,0,3.9,79600,,"Chicken Afghani, Biryani Rice, Paneer Roll, Lachha Paratha, Rumali Roti, Chicken Kebab","Best Food, Good Taste, Contactless Delivery, Tamper Proof Packaging, Great Taste, Worth the Money",100
Crazy 4 Cakes,https://www.zomato.com/kolkata/crazy-4-cakes-park-street-area,"Bakery, Desserts","Park Street Area, Kolkata",Opens at 10am,"7/1, Russel Street, Park Street Area, Kolkata",9.19837E+11,1,1,0,1,-,0,4.2,1017,,,"Cute Packaging, Extensive Menu, Food Presentation, Worth the Money, Customizable Food, Timely Service",200
Koshe Kosha,https://www.zomato.com/kolkata/koshe-kosha-park-street-area,"Bengali, Desserts","Park Street Area, Kolkata",Opens at 11am,"1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata",9.19831E+11,1,1,1,0,4.1,637,4.1,2572,Authentic Bengali food in an ambiance that pulls out the hidden Bengali in everyone!,"Saag Bhaja, Moshla Murgi, Aam Pora, Gondhoraj Ghol, Vetki Paturi, Aam Doi","Comfortable Seating Area, Relaxed Atmosphere, Good Staff, Awesome Food, Nice Ambience, Decoration",800
Behrouz Biryani,https://www.zomato.com/kolkata/behrouz-biryani-ballygunge,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebab, North Indian, Desserts","Ballygunge, Kolkata",,"29, 1st Lane, Ballygunge, Kolkata",9.177E+11,1,0,0,0,-,0,4.2,3454,,,"Proper Packaging, Packing, Worth the Money, Timely Service, Great Portions, Flavour",400
Kareem's,https://www.zomato.com/kolkata/kareems-park-street-area,"North Indian, Mughlai, Biryani, Kebab, Beverages","Park Street Area, Kolkata",Opens at 12noon,"55 B, Mirza Ghalib Street, Park Street Area, Kolkata",9.19008E+11,1,1,1,0,4.5,1918,4.2,8959,,"Matka Murgh, Karachi Mutton, Handi Gosht Biryani, Murgh Lahori, Chicken Kebab Platter, Lahori Chicken","Pocket Friendly Restaurant, Relaxed Atmosphere, Good for Large Groups, Quality of Food, Family Place, Polite Behaviour",1000
6 Ballygunge Place,https://www.zomato.com/kolkata/6-ballygunge-place-ballygunge,"Bengali, Fast Food","Ballygunge, Kolkata",Opens at 12noon,"6, Ballygunge Place, Ballygunge, Kolkata",9.13325E+11,1,1,1,0,4.5,3855,4.3,3219,Quintessential Bengali feel in terms of food and ambiance,"Lal Murgi, Bhetki Roll, Doi Murgi, Prawn Gravy, Doi Ilish, Begun Basanti","Location of the Restaurant, Buffet Variety and Quality, Authentic Food, Courteous Service, Rooftop Ambience, Themed Decor",600
Royal Indian Restaurant,https://www.zomato.com/kolkata/royal-indian-restaurant-park-circus-area,Biryani,"Park Circus Area, Kolkata",11am – 5am (Today),"24A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",9.19038E+11,1,1,1,0,4.1,1884,4.1,18100,Mughlai Biryani and North Indian Curries.,"Keema Mutter, Mutton Chaanp, Dhania Chicken, Mutton Haleem, Mutton Pasinda, Sahi Tukra","Comfortable Seating Area, Relaxed Atmosphere, Family Place, Family Restaurant, Packed on Weekends, Cheap",700
Azad Hind Dhaba,https://www.zomato.com/kolkata/azad-hind-dhaba-bhawanipur,"North Indian, Chinese, Mughlai, Rolls, Biryani","Bhawanipur, Kolkata",Opens at 11am,"17, Ground Floor, Harish Mukherjee Road, Bhawanipur, Kolkata",9.1789E+11,1,0,1,0,3.1,73,3.8,2230,,,"Elaborate Menu, Customizable Food, Fresh Food, Good Quality, Quantity",700
Bhojohori Manna,https://www.zomato.com/kolkata/bhojohori-manna-esplanade,"Bengali, Desserts, Seafood, North Indian, Fast Food","Esplanade, Kolkata",Opens at 12noon,"11A, Sido Kanhu Dahar, Esplanade, Kolkata",9.19831E+11,1,1,1,0,3.6,691,3.9,295,Bengali Food,"Jumbo Ilish, Pabda Shorshe, Chicken Dak Bunglow, Aam Doi, Dab Chingri, Katla Kalia","Gastronomical Experience, Good for Large Groups, Best Places, Food Quantity, Environment, Menu",700
Bhikharam Chandmal,https://www.zomato.com/kolkata/bhikharam-chandmal-chowringhee,"North Indian, South Indian, Chinese","Chowringhee, Kolkata",Opens at 8am,"1, A.J.C. Bose Road, Chowringhee, Kolkata",9.13346E+11,1,1,1,0,3.1,85,3.3,411,,,"Price, Service, Ambience, Quantity",300
Jai Hind Dhaba,https://www.zomato.com/kolkata/jai-hind-dhaba-paddapukur,"North Indian, Chinese, Rolls","Paddapukur, Kolkata",11am – 4am (Today),"41/1A, Sarat Bose Road, Paddapukur, Kolkata",9.13325E+11,1,1,1,0,4.3,2895,4,16000,,"Tangdi Chicken, Authentic Punjabi Food, Panneer Butter Masala, Egg Tarka, Roomali Roti, Rumali Roti","Very Cheap, Desi Vibes, Dhaba Feel, Late Night Delivery, Pocket Friendly, Friendly Staffs",450
6 Ballygunge Place Thali,https://www.zomato.com/kolkata/6-ballygunge-place-thali-kasba,"Bengali, Bangladeshi, Desserts, Beverages","Kasba, Kolkata",Opens at 12noon,"37/1, Rajdanga Main Road, Kasba, Kolkata",9.18276E+11,1,1,1,0,4.2,865,4.1,4857,Quintessential Bengali Feel In Terms Of Food And Ambiance,"Chingri Thali, Rohu Fish, Tiger Prawn, Gondhoraj Ghol, Alu Bhaja, Authentic Bengali Food","Themed Decor, Ample Seating Area, Pocket Friendly Place, Family Place, Service Charge, Good Value",800
Hatari,https://www.zomato.com/kolkata/hatari-esplanade,"Chinese, Fast Food, Asian","Esplanade, Kolkata",,"Eden Garden Road, Netji Indoor Stadium, Eden Gardens, Esplanade, Kolkata",9.19163E+11,1,0,0,0,-,0,4.3,541,,,,300
India Restaurant,https://www.zomato.com/kolkata/india-restaurant-kidderpore,"Biryani, Mughlai, North Indian, Kebab, Chinese","Kidderpore, Kolkata",Opens at 11am,"34, Karl Marx Sarani, Kidderpore, Kolkata",9.18482E+11,1,1,1,0,4.7,4571,4.2,26000,,"Pineapple Tandoori, Full Mutton Biryani, Kacchi Biryani, Mutton Galawti Kebab, Mutton Kadhai, Mutton Dakbangla","Classy Decor, Beautiful Interior, Good for Large Groups, Infrastructure, New Experience, Affordable",800
Lazeez Biryani,https://www.zomato.com/kolkata/lazeez-biryani-entally,"Biryani, Mughlai","Entally, Kolkata",12noon – 4am (Today),"1/A, Convent Road, Entally, Kolkata",9.18443E+11,1,1,1,0,3.9,693,3.7,63400,,"Chicken Thigh, Chaap, Chicken Biriyani, Mutton Biriyani, Rice","Drive through, Economical, Comfort Food, Polite Staff, Cutlery, Prompt Service",300
Denzong Kitchen,https://www.zomato.com/kolkata/denzong-kitchen-hazra,"Momos, Chinese, Tibetan, Seafood","Hazra, Kolkata",Opens at 11:30am,"31A, Shyama Prasad Mukherjee Road, Hazra, Kolkata",9.18697E+11,1,1,1,0,4.1,910,3.9,11500,,"Chicken Kothey, Chicken Shyapta, Chicken Schezwan Noodles, Dragon Chicken, Chicken Steamed Momo, Pan Fried Momo","Not very Crowded, Inexpensive, Cozy Ambiance, Great Recommendations, Polite Staff, Low Price",500
Baskin Robbins,https://www.zomato.com/kolkata/baskin-robbins-bhawanipur,"Ice Cream, Desserts, Beverages","Bhawanipur, Kolkata",Opens at 11:30am,"2, Ashutosh Mukherjee Road, Bhawanipur, Kolkata",9.19007E+11,1,1,1,1,3.7,60,4.3,858,,,,300
Adil Biryani Centre,https://www.zomato.com/kolkata/adil-biryani-centre-ballygunge,"Biryani, Kebab","Ballygunge, Kolkata",Opens at 12noon,"38, Shamsul Huda Road, Ballygunge, Kolkata",9.19876E+11,1,1,0,0,-,0,4.1,28800,,,"Great Recommendations, Portion Size, Good Taste, Worth the Money, Great Portions, Good Food",100
New Paul Dhaba Veggie Hub,https://www.zomato.com/kolkata/new-paul-dhaba-veggie-hub-maniktala,"North Indian, Chinese, Biryani, Kebab, Rolls","Maniktala, Kolkata",Opens at 8am,"167A, Vivekanand Road, Maniktala, Kolkata",9.19007E+11,1,1,1,0,4,444,4,24200,,"Shahi Paneer, Veg Biriyani, Chana Masala, Malai Kofta, Dal Makhni, Thali","Cashless Payments, Cozy Ambiance, Nice Taste, Polite Staff, Nice Food, Packing",300
Bhikharam Chandmal Rajuji,https://www.zomato.com/kolkata/bhikharam-chandmal-rajuji-1-bara-bazar,"North Indian, South Indian, Chinese","Bara Bazar, Kolkata",,"P 11, Lower Ground Floor, C I T Scheme L, Bara Bazar, Kolkata",9.19332E+11,1,0,0,0,-,0,4.3,152,,,,100
Keventers - Milkshakes & Desserts,https://www.zomato.com/kolkata/keventers-milkshakes-desserts-new-market-area,"Beverages, Desserts, Ice Cream, Shake","New Market Area, Kolkata",7am – 5am (Today),"1, Humayan Place, Ground Floor, New Empire Cinema Building, New Market Area, Kolkata",9.1798E+11,1,1,0,0,3.8,1,4.2,268,,,,400
Ebowl,https://www.zomato.com/kolkata/ebowl-esplanade,"North Indian, Chinese, Biryani, Fast Food, Beverages","Esplanade, Kolkata",,"3A, 1st Floor, Jawaharlal Nehru Road, Esplanade, Kolkata",9.18445E+11,1,0,0,0,-,0,4,2059,,,,200
I Love Haldiram,https://www.zomato.com/kolkata/i-love-haldiram-park-street-area,"Chinese, Fast Food, Street Food, North Indian, Shake, Mishti","Park Street Area, Kolkata",Opens at 7am,"12, Russel Street, Near Bombay Dying, Park Street Area, Kolkata",9.1934E+11,1,1,1,1,3.1,111,3.8,2888,,,,400
Mezban,https://www.zomato.com/kolkata/mezban-wellesley,"Biryani, Mughlai, Chinese, North Indian","Wellesley, Kolkata",Opens at 10am,"Ground Floor, B/6A/H/4, Muzaffar Ahmed Street, Ward 61, Wellesley, Kolkata",9.19074E+11,1,1,1,0,4.1,1356,3.8,57600,,"Keema Mutter, Haleem, Mughlai Food, Phirni, Rumali Roti, Chaap","Gastronomical Experience, Comfortable Seating Area, Good for Large Groups, Packed on Weekends, Good Food Quality, Nice Service",600
Tewari Confectioners,https://www.zomato.com/kolkata/tewari-confectioners-minto-park,"Mishti, Street Food, Shake","Minto Park, Kolkata",Opens at 8am,"233/5, A.J.C. Bose Road, Kandhari House, Minto Park, Kolkata",9.13323E+11,1,1,1,1,3.9,186,4.2,504,,,,200
Barbeque Nation,https://www.zomato.com/kolkata/barbeque-nation-wellesley,"BBQ, Chinese, Kebab, North Indian, Desserts","Wellesley, Kolkata",Opens at 12noon,"24, 1st Floor, Park Center Building, Wellesley, Kolkata",9.13369E+11,1,1,1,0,4.9,5619,3.9,1507,An indoor barbecue concept venue offering a 'Do-It-Yourself' grilling experience at every table,"Mangalorean Fish Curry, Sheer Korma, Chicken Cashew, Pan Kulfi, Mutton Saag, Cajun Potatoes","Cost Suits the Pocket, Live Grill, Complimentary Drinks, Service is Great and Fast, Wait Staff, Efficient Service",1800
Taj Biryani,https://www.zomato.com/kolkata/taj-biryani-park-circus-area,Biryani,"Park Circus Area, Kolkata",Opens at 11am,"3A, Rammohan Bera Lane, Park Circus Area, Kolkata",9.19572E+11,1,1,1,0,3.5,35,3.7,2002,,,,300
Hindusthan Sweets,https://www.zomato.com/kolkata/hindusthan-sweets-ballygunge,"Mishti, Street Food, Desserts","Ballygunge, Kolkata",Opens at 9:20am,"1B, Leela Roy Sarani, Ballygunge, Kolkata",9.1933E+11,1,1,1,1,3.5,55,4.2,553,,,,200
Dhaba Junction,https://www.zomato.com/kolkata/dhaba-junction-ballygunge,"North Indian, Bengali","Ballygunge, Kolkata",,"51, Near Deys Medical Bus Stand, Bondel Road, Ballygunge, Kolkata",9.17009E+11,1,1,1,0,3.8,188,3.9,15600,,,"Nice Foods and Great Service, Plenty of Vegetarian Options, Elegantly Decorated, Prompt Service, Good Taste, Worth the Money",400
Starbucks Coffee,https://www.zomato.com/kolkata/starbucks-coffee-park-street-area,"Cafe, Beverages, Fast Food, Desserts","Park Street Area, Kolkata",Opens at 8am,"57 A, Ground Floor, Park Mansions, Park Street Area, Kolkata",9.19137E+11,1,1,1,0,4.3,1437,4.2,2240,,"Java Chip Frappuccino, White Chocolate Mocha, Frappuccino, Chicken Salad Sandwich, Hot Coffee, Latte","Charging Ports, Great for Birthdays, Quiet, Large Servings, Good Price, Fancy Crowd",600
ATS  Arun Dhaba,https://www.zomato.com/kolkata/ats-arun-dhaba-theatre-road,North Indian,"Theatre Road, Kolkata",Opens at 9:30am,"27, Shakespeare Sarani, Outram Street, Theatre Road, Kolkata",9.1891E+11,1,1,1,1,3.8,252,4,13400,,"Kachori Sabzi, Tawa Roti, Chai, Paneer Butter Masala, Gulab Jamun","Very Cheap, Pocket Friendly, Nice Food, Good Taste, Tasty, Good Food",350
Sher-e-Punjab,https://www.zomato.com/kolkata/sher-e-punjab-theatre-road,"North Indian, Chinese, Rolls","Theatre Road, Kolkata",Opens at 12:30pm,"7/1A, A.J.C. Bose Road, Near Kala Mandir, Theatre Road, Kolkata",9.19831E+11,1,1,1,0,3.4,307,3.9,3190,,"Butter Chicken, Chicken Tandoori, Rolls, Kebabs, Fried Rice","Economical, Polite Staff, Tandoori, Location, Good Place, Ambiance",500
Shiraz Golden Restaurant,https://www.zomato.com/kolkata/shiraz-golden-restaurant-park-street-area,"Biryani, North Indian, Kebab, Chinese, Mughlai, Arabian, Rolls","Park Street Area, Kolkata",Opens at 12noon,"135, Park Street, Ground And Mezanine Floor, Ward 61, Park Street Area, Kolkata",9.18585E+11,1,1,1,0,4.3,2615,4.1,9527,Biryani. Enough said!!,"Brain Masala, Chicken Chaanp, Mutton Pasinda, Mutton Chanp, Mutton Tikia, Tandoori Prawns","Gastronomical Experience, Relaxed Atmosphere, Pocket Friendly Place, Comfortable Seating Area, Servicing, Authentic Taste",800
