Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost,latitudes,longitudes
Break-inn Cafe,https://www.zomato.com/kolkata/break-inn-cafe-chandni-chowk,"North Indian, Continental","Chandni Chowk, Kolkata",Opens at 11am,"14, Mezzanine Floor, E-mall, Chandni Metro, Chittaranjan Avenue, Chandni Chowk, Kolkata",919831000000,1,1,1,0,-,1,-,3,,,,250,22.5640235,88.3608177
Breads & Curries,https://www.zomato.com/kolkata/breads-curries-hindustan-park,"Bengali, Fast Food, Desserts","Hindustan Park, Kolkata",Opens at 12noon,"19/1A, Biplabi Ambika Chakraborty Sarani, Ward-086, Borough-VIII, Hindustan Park, Kolkata",919331000000,1,1,0,0,-,0,-,21,,,,200,22.5177017,88.3632073
Bunaphile,https://www.zomato.com/kolkata/bunaphile-1-hindustan-park,"Sandwich, Fast Food, Continental, Salad, Beverages","Hindustan Park, Kolkata",Opens at 7am,"72, Hindustan Park, Kolkata",919903000000,1,0,1,0,3.5,158,3.4,20,,"Hot Chocolate, Cold Coffee, Drinks, Pizza, Chicken","Lightings, Outdoor Seating, Customizable Dishes, Ambience was Super Cool, Weekend Brunch, Food Presentation",500,22.5177017,88.3632073
D'Italini- Veg Gourmet Kitchen,https://www.zomato.com/kolkata/ditalini-veg-gourmet-kitchen-kankurgachi,"Italian, Pasta, Burger, Sandwich, Burmese, Mexican, Lebanese","Kankurgachi, Kolkata",Opens at 11:30am,"P-48, Scheme 7M, Block-1, CIT Road, Kankurgachi, Kolkata",919073000000,1,1,0,0,-,0,-,1,,,,100,22.578972450000002,88.39151741636809
Bamboo,https://www.zomato.com/kolkata/bamboo-tangra,"Chinese, Momos","Tangra, Kolkata",,"27A-1, Ground Floor, Mahendra Roy Lane, Borough, Tangra, Kolkata",916291000000,1,0,0,0,-,0,-,4,,,,150,22.5565107,88.3795946
Zest Event,https://www.zomato.com/kolkata/zest-event-jadavpur,Chinese,"Jadavpur, Kolkata",,"86, Ibrahimpur Road, Jadavpur, Kolkata",917004000000,1,0,0,0,-,0,-,0,,,,250,22.495499,88.3709006
Saffron Delight,https://www.zomato.com/kolkata/saffron-delight-park-street-area,"Burger, Sandwich, Fast Food, Beverages","Park Street Area, Kolkata",Opens at 11:30am,"3, Cockburn Lane, Park Street Area, Kolkata",918420000000,1,1,0,0,3.4,24,-,6,,,"Best in Service, Served Quickly, Fair Prices, Nice Concept, Fresh Food with Good Quality, Best Food under Best Budget",300,52.0855618,-0.7272059
Lolos Food Fantasy,https://www.zomato.com/kolkata/lolos-food-fantasy-kasba,Street Food,"Kasba, Kolkata",,"20 D, Dharmatala Road, Borough 7, Kasba, Kolkata",918961000000,1,0,0,0,-,0,-,3,,,,200,22.5044355,88.3721663
Cafe Offbeat Alfresco,https://www.zomato.com/kolkata/cafe-offbeat-alfresco-topsia,"Continental, South Indian, Desserts","Topsia, Kolkata",9am â€“ 2am (Today),"36/F, Offbeat CCU, Topsia, Kolkata",917004000000,1,1,1,0,3.7,22,-,5,,,"Best Decor, Fantastic Decoration, Clean and Hygienic Place, Young Crowd, Elaborate Menu, Customizable Food",900,22.5418017,88.3869552
Breadbox Cakes And Cafe,https://www.zomato.com/kolkata/breadbox-cakes-and-cafe-hindustan-park,"Bakery, Continental, Sandwich, Fast Food, Beverages","Hindustan Park, Kolkata",Opens at 11am,"62/2, Hindustan Park, Kolkata",919904000000,1,1,1,0,3.8,23,-,4,,,"Cooperative Staff, Awesome Spot to Hangout, Warm Welcome, Best in Service, Soft Music, Cafe",600,22.5177017,88.3632073
The Pink Elephant Club,https://www.zomato.com/kolkata/the-pink-elephant-club-alipore,"Chinese, Fast Food, Pizza, Sandwich, Beverages","Alipore, Kolkata",12midnight â€“ 10pm (Today),"17/1F, 3rd Floor, Alipore, Kolkata",919039000000,1,1,1,1,3.8,14,3.3,39,,,"Young Crowd, Customizable Food, Great Portions, Fresh Food, Delicious Food, Good Quality",500,22.5264928,88.3323692
Malacca Strait,https://www.zomato.com/kolkata/malacca-strait-dhakuria,"Chinese, Asian","Dhakuria, Kolkata",,"203, Garfa Main Road, Dhakuria, Kolkata",917676000000,1,0,0,0,-,0,4,2,,,,200,22.5094085,88.371185
Snacks In Seconds,https://www.zomato.com/kolkata/snacks-in-seconds-beliaghata,"Chinese, Fast Food, North Indian","Beliaghata, Kolkata",,"98A/5, Dr. SC Banerajee Road, Near Jora Mandir, Beliaghata, Kolkata",916291000000,1,0,0,0,-,0,-,0,,,,250,22.5506557,88.40391715
Bhukkad Gorilla,https://www.zomato.com/kolkata/bhukkad-gorilla-ballygunge,"Rolls, Fast Food","Ballygunge, Kolkata",,"22, Ritchie Road, Ballygunge, Kolkata",918337000000,1,0,0,0,-,0,3.7,432,,"Wedges, Wraps, French Fries, Rolls, Corn, Chicken","Worth the Price, Very Affordable, Spill Proof Packaging, Healthy Food, Contactless Delivery, Best Food",150,22.5280337,88.3659084
Euro Cafe,https://www.zomato.com/kolkata/euro-cafe-1-minto-park,"Continental, Italian, Beverages, North Indian, Juices, Shake","Minto Park, Kolkata",,"4/1, Prametesh Barua Sarani, Minto Park, Kolkata",919674000000,1,0,0,0,-,0,3.4,25,,,,250,22.541947399999998,88.35471347839723
Bar B-Q Rollover,https://www.zomato.com/kolkata/bar-b-q-rollover-ballygunge,"BBQ, Kebab","Ballygunge, Kolkata",,"18/2, Bondel Road, Ballygunge, Kolkata",916291000000,1,1,1,0,-,3,3.5,45,,,,300,22.5280337,88.3659084
Waypoint,https://www.zomato.com/kolkata/waypoint-paddapukur,"Cafe, Beverages, Healthy Food, Continental, Desserts, Salad, , Sandwich","Paddapukur, Kolkata",Opens at 12noon,"32B, Sarat Bose Road, Paddapukur, Kolkata",913380000000,1,1,1,0,3.7,29,4,17,,,"Excellent Experience, Outdoor Seating, Cafe, Worth the Money, Fresh Food, Good Quality",900,22.50502445,88.30295777651463
The Gangtok Kitchen - TGK,https://www.zomato.com/kolkata/the-gangtok-kitchen-tgk-park-street-area,"Thai, Chinese, Nepalese","Park Street Area, Kolkata",Opens at 11am,"4/1, Sikkim House, Middleton Street, Park Street Area, Kolkata",919163000000,1,1,1,0,3.7,20,4,50,,,"Comforting Atmosphere, Best Food under Best Budget, Courteous Staff, Fresh Food, Good Quality, Service",700,52.0855618,-0.7272059
What A Sandwich,https://www.zomato.com/kolkata/what-a-sandwich-gariahat,Sandwich,"Gariahat, Kolkata",,"16, Suren Tagore Road, Gariahat, Kolkata",919674000000,1,0,0,0,-,0,3.8,26,,,,150,22.5196384,88.3656241
Biryani De Nation,https://www.zomato.com/kolkata/biryani-de-nation-park-street-area,Biryani,"Park Street Area, Kolkata","12midnight â€“ 4:30am, 12noon â€“ 12midnight (Today)","35/1, Acharya Jagadish, Madhusudhan Market, Chandra Bose Road, Park Street Area, Kolkata",917003000000,1,1,0,0,-,0,3.1,90,,,,150,52.0855618,-0.7272059
Dil Ka Dabba,https://www.zomato.com/kolkata/dil-ka-dabba-hazra,"North Indian, Street Food, South Indian, Sandwich","Hazra, Kolkata",,"22, Ritchie Road, Hazra, Kolkata",918337000000,1,0,0,0,-,0,3.8,220,,"Paneer Pav Bhaji, Dal Roti, Tandoori Maggi, Cheese Uttapam, Cheese Maggi, Veg Sandwich","Contactless Delivery, Proper Packaging, Best Food, Extensive Menu, Food Taste, Worth the Money",100,22.5227232,88.3499241
The Banglar Rannaghar,https://www.zomato.com/kolkata/the-banglar-rannaghar-gariahat,"North Indian, Bengali","Gariahat, Kolkata",,"4/15, Fern Road, Opposite Kamala Chatterji School, Gariahat, Kolkata",918759000000,1,0,0,0,-,0,-,0,,,,250,22.5196384,88.3656241
Norwegians,https://www.zomato.com/kolkata/norwegians-2-dhakuria,"Cafe, Fast Food, Desserts, Beverages","Dhakuria, Kolkata",Opens at 11am,"28/1C, First Floor, Gariahat Road, Dhakuria, Kolkata",917440000000,1,1,1,0,3.8,75,3.8,15,,"Jalebi, Cheesecake, Platter, Fish","Cheap and Affordable, Live Music, Seating Arrangements, Mood, Hookah, Best Food under Best Budget",500,22.5094085,88.371185
Green Benches,https://www.zomato.com/kolgb,"Tea, Beverages, Street Food","Ballygunge, Kolkata",Opens at 7am,"18/74/2, 4th Floor, Dover Lane, Borough 8, Ballygunge, Kolkata",918108000000,1,1,0,0,-,0,4.3,86,,,"Healthy and Delicious, Fresh Food with Good Quality, Best Food under Best Budget, Affordable Prices, Extensive Menu, Taste",100,22.5280337,88.3659084
Choco Wonder,https://www.zomato.com/kolkata/choco-wonder-1-topsia,"Bakery, Desserts","Topsia, Kolkata",,"53A, Shamsul Huda Road, Topsia, Kolkata",919831000000,1,0,0,0,-,0,-,11,,,,50,22.5418017,88.3869552
Erestro,https://www.zomato.com/kolkata/erestro-dhakuria,"Chinese, North Indian, Fast Food, Rolls, Mughlai","Dhakuria, Kolkata",,"64B, Tanupukur Road, Ground Floor, Dhakuria, Kolkata",917044000000,1,1,0,0,-,0,4,59,,,,150,22.5094085,88.371185
Food Fiesta,https://www.zomato.com/kolkata/food-fiesta-kasba,"Fast Food, Mughlai, Rolls, Chinese","Kasba, Kolkata",Opens at 11am,"39/1, Bose Pukur Road, Kasba, Kolkata",919831000000,1,1,0,0,-,0,-,4,,,,150,22.5044355,88.3721663
Seema's Kitchen,https://www.zomato.com/kolkata/seemas-kitchen-1-jodhpur-park,"North Indian, Chinese","Jodhpur Park, Kolkata",,"65, Das Nagar, Jodhpur Park, Kolkata",918100000000,1,0,0,0,-,0,-,1,,,,100,22.5056055,88.363674
Gypsy By Aminia,https://www.zomato.com/kolkata/gypsy-by-aminia-chandni-chowk,"Biryani, Chinese, North Indian, Rolls, Mughlai","Chandni Chowk, Kolkata",Opens at 12:30pm,"2, Chandni Chowk Street, Chandni Chowk, Kolkata",917044000000,1,1,1,0,3.6,224,4,246,,,"Comfortable Seating Area, Prices, Service, Ambience, Quantity, Food",500,22.5640235,88.3608177
Behrouz Biryani,https://www.zomato.com/kolkata/behrouz-biryani-alipore,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebab, North Indian, Desserts","Alipore, Kolkata",,"Premises 2, Ground Floor, Agrawal House, Ward 75, Munshi Premchand Road, Alipore, Kolkata",917700000000,1,0,0,0,-,0,4.4,708,,,,400,22.5264928,88.3323692
Denzong Kitchen,https://www.zomato.com/kolkata/denzong-kitchen-picnic-garden,"Momos, Chinese, Tibetan, Seafood","Picnic Garden, Kolkata",Opens at 12:01pm,"2A, Chowbaga Road, Ward 66, Picnic Garden, Kolkata",917440000000,1,1,1,0,3.1,8,3.9,2891,,,,500,22.5259951,88.3892586
Keventers - Milkshakes and Desserts,https://www.zomato.com/kolkata/keventers-milkshakes-and-desserts-ballygunge,"Beverages, Desserts, Ice Cream, Shake","Quest Mall, Ballygunge, Kolkata",Opens at 11am,"Quest Mall, Basement, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata",913346000000,1,1,0,1,4.1,245,4.3,2212,,"Vanilla Milkshake, Mango Milkshake, Strawberry Milkshake, Kit Kat Shake, Chocolate, Drink","Best Place, Prices, Staff, Quality, Food",400,22.539025350000003,88.36570191241475
Mitra Cafe,https://www.zomato.com/kolkata/mitra-cafe-shobha-bazar,"Seafood, Bengali, North Indian, Chinese","Shobha Bazar, Kolkata",Opens at 5pm,"47, Jatindra Avenue, Shobha Bazar, Kolkata",919830000000,1,1,1,0,4.4,1681,4.4,2812,,"Brain Chop, Choco Pudding, Mutton Kabiraji, Mughlai Chicken, Fish Diamond Fry, Chicken Afghani","Quaint Little Place, Affordable, Comfortable Seating, Authenticity, Staff Behavior, Friendly Place",500,22.5940341,88.362514
Apu's Kitchen,https://www.zomato.com/kolkata/apus-kitchen-kankurgachi,"Biryani, Seafood, North Indian, Mughlai, Chinese","Kankurgachi, Kolkata",Opens at 12:30pm,"119, Hem Chandra Naskar Road, Kankurgachi, Kolkata",919832000000,1,1,1,0,4,541,4.1,20700,,"Egg Roll, Rolls, Tandoori Chicken, Soup, Momos, Noodles","Pocket Friendly, Great Recommendations, Takeaway, Sitting Arrangement, Tasty, Perfect Presentation",500,22.578972450000002,88.39151741636809
"Rollick- Ice Creams, Cakes & Desserts",https://www.zomato.com/kolkata/rollick-ice-creams-cakes-desserts-ballygunge,"Desserts, Ice Cream, Beverages, Bakery","Ballygunge, Kolkata",Opens at 9am,"23, Rustamjee Street, Borough 7, Ballygunge, Kolkata",918261000000,1,1,1,0,-,0,4.3,44,,,,200,22.5280337,88.3659084
Faasos - Wraps & Rolls,https://www.zomato.com/kolkata/faasos-wraps-rolls-alipore,"Fast Food, Rolls, Wraps, Shake","Alipore, Kolkata",,"Premises 2, Ground Floor, Munshi Premchand Road, Ward 75, Agrawal House, Heasting, Alipore, Kolkata",917700000000,1,0,0,0,-,0,4.1,728,,,,200,22.5264928,88.3323692
Masterchef,https://www.zomato.com/kolkata/masterchef-picnic-garden,"Thai, Chinese","Picnic Garden, Kolkata",11am â€“ 2am (Today),"1M, Sapgachi, 1st Lane, Picnic Garden, Kolkata",918437000000,1,1,0,0,-,0,3.8,27100,,"Mushroom Oyster Sauce, Chicken Hot Garlic, Mushroom Pepper, Chicken Wonton Soup, Thai Chicken, Chicken 65","Comfortable Seating, Contactless Delivery, Spill Proof Packaging, Good Quantity, Good Taste, Packing",150,22.5259951,88.3892586
Chittoda's Suruchee Restaurant,https://www.zomato.com/kolkata/chittodas-suruchee-restaurant-esplanade,"Chinese, Biryani, North Indian","Esplanade, Kolkata",Opens at 12noon,"2, Dacres Lane, Near Pearless Bhawan, Esplanade, Kolkata",919830000000,1,1,1,0,4.7,1117,4.4,3505,Finger-licking food at affordable prices,"Chitto Babur Dokan, Butter Toast, Fish Diamond Fry, Chicken Hakka Chowmein, Fish Roll, Rumali Roti","Service and Quality of Food, Menu Options, Cheap Prices, Gastronomical Experience, Pocket Friendly Restaurant, Authenticity",300,22.563292,88.3503566
The Good Bowl,https://www.zomato.com/kolkata/the-good-bowl-alipore,"North Indian, Asian, Biryani, Shake","Alipore, Kolkata",,"Premises 2, Ground Floor, Agrawal House, Ward 75, Munshi Premchand Road, Alipore, Kolkata",918828000000,1,0,0,0,-,0,4.5,289,,,,200,22.5264928,88.3323692
Aamijans - By the Bahubelly,https://www.zomato.com/kolkata/aamijans-by-the-bahubelly-kasba,"North Indian, Biryani, Mughlai","Kasba, Kolkata","12midnight â€“ 4am, 6pm â€“ 12midnight (Today)","466, Hestings Colony, VIP Nagar, Theatre Road, Kasba, Kolkata",918420000000,1,1,0,0,-,0,3.6,1751,,,,150,22.5044355,88.3721663
The Biryani Life,https://www.zomato.com/kolkata/the-biryani-life-alipore,"Biryani, North Indian","Alipore, Kolkata",,"Premises 2, Ground Floor, Agrawal House, Ward 75, Munshi Premchand Road, Alipore, Kolkata",919987000000,1,0,0,0,-,0,4.3,116,,,,250,22.5264928,88.3323692
Apanjan,https://www.zomato.com/kolkata/apanjan-kalighat,Bengali,"Kalighat, Kolkata",Opens at 1pm,"50 B, Sadananda Road, Kalighat, Kolkata",919648000000,1,1,0,0,-,0,4.2,9025,,"Mutton Keema Cutlet, Mutton Singhara, Chicken Filet, Fish Kachuri, Deviled Eggs, Chicken Kaviraji","Street Food, Great Taste, Portion Size, Good Taste, Owner, Extensive Menu",150,22.5153313,88.3477052
The Brooklyn Creamery - Healthy Ice Cream,https://www.zomato.com/kolkata/the-brooklyn-creamery-healthy-ice-cream-paddapukur,"Ice Cream, Desserts","Paddapukur, Kolkata",,"40, A Pandit Madan Mohan Malviya Sarani, Paddapukur, Kolkata",917909000000,1,0,0,0,-,0,4.3,123,,,"Cute Packaging, Worth the Money, Great Portions, Delicious Food, Taste",200,22.50502445,88.30295777651463
Tandoor House,https://www.zomato.com/kolkata/tandoor-house-kalighat,"North Indian, Chinese, Mughlai","Kalighat, Kolkata",Opens at 12:30pm,"2B, Lake Market, Parashar Road, Kalighat, Kolkata",919062000000,1,1,1,0,3.8,3745,4.3,731,,"Maharaja Chicken, Kebab Combo, Biryani Combo Meal, Chicken Hakka Chowmein, Chicken Roast, Panneer Butter Masala","Food and Service, Good Combos, Cheap Prices, Ample Seating Area, Best Price, Pocket Friendly Restaurant",500,22.5153313,88.3477052
Chatar Patar,https://www.zomato.com/kolkata/chatar-patar-ballygunge,"Street Food, Fast Food, Beverages, Sandwich","Ballygunge, Kolkata",,"66, Ballygunge Circular Road, Near Tivoli Court, Ballygunge, Kolkata",919831000000,1,1,1,1,4,242,4.1,7102,,"Tandoori Maggi, Phuchkas, Chaat, Pav Bhaji, Sandwiches, Snacks","Street Food, Hygiene, Owner, Worth the Money, Prices, Menu",300,22.5280337,88.3659084
Gambit's Pizza,https://www.zomato.com/kolkata/gambits-pizza-paddapukur,"Pizza, Pasta, Fast Food","Paddapukur, Kolkata","12midnight â€“ 4am, 1pm â€“ 12midnight (Today)","8-A, Priyanath Mullick Road, Paddapukur, Kolkata",919038000000,1,1,0,0,-,0,4,162,,,,250,22.50502445,88.30295777651463
Pizza Center,https://www.zomato.com/kolkata/pizza-center-ballygunge,"Pizza, Burger, Chinese, Beverages, Italian, Shake","Ballygunge, Kolkata",Opens at 4pm,"32, Beck Bagan Row, Ballygunge, Kolkata",919837000000,1,1,0,0,-,0,3.9,1418,,,,200,22.5280337,88.3659084
Chhota Ellaichi,https://www.zomato.com/kolkata/chhota-ellaichi-girish-park,"North Indian, Chinese, Seafood, Mughlai, Shake","Girish Park, Kolkata",Opens at 1pm,"59, Vivekananda Road, Chittaranjan Avenue, Girish Park, Kolkata",919239000000,1,1,1,0,3.5,183,4.2,910,,"Spaghetti, Mixed Fried Rice, Rolls, Hakka Noodles",,850,22.5871445,88.3629415
