Name,URL,Cuisines,Area,Timing,Full_Address,PhoneNumber,IsHomeDelivery,isTakeaway,isIndoorSeating,isVegOnly,Dinner Ratings,Dinner Reviews,Delivery Ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost,latitudes,longitudes
Haldiram's,https://www.zomato.com/kolkata/haldirams-bara-bazar,"North Indian, Fast Food, South Indian, Street Food, Chinese, Desserts, Beverages, Mishti","Bara Bazar, Kolkata",Opens at 10am,"11B, Ground Floor, Dr. Ram Manohar Lohia Sarani, Ward 22, Bara Bazar, Kolkata",919073000000,1,1,1,1,3.6,26,3.9,55,,,,300,22.5801792,88.3528098
Subway,https://www.zomato.com/kolkata/subway-park-street-area,"Healthy Food, Fast Food, Sandwich, Salad, Beverages, Wraps","Park Street Area, Kolkata","12midnight â€“ 4am, 9am â€“ 12midnight (Today)","57A, Park Mansion, Park Street Area, Kolkata",913340000000,1,1,1,0,4,476,3.9,10800,,"Aloo Patty, Wraps, Sandwiches, Salads","Elegantly Decorated, Great Ambiance, Polite Staff, Low Price, Prompt Service, Best Place",400,52.0855618,-0.7272059
Gupta Brothers,https://www.zomato.com/kolkata/gupta-brothers-elgin,"Mishti, North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages, Shake","Elgin, Kolkata",Opens at 7:30am,"82A, Sambhunath Pandit Street, Elgin, Kolkata",918100000000,1,1,0,1,3.5,2,4.1,8643,,"Rose Milk, Chamcham, Dhokla, Sandesh, Dahi Vada, Kulfi","Cozy Ambiance, Great Recommendations, Combos, Prompt Service, Good Taste, Best Place",450,22.537374800000002,88.34756170104649
Shimla Biryani,https://www.zomato.com/kolkata/shimla-biryani-topsia,"Biryani, Mughlai, Fast Food, North Indian, Kebab, Chinese","Topsia, Kolkata",Opens at 11am,"11/1, Topsia, Kolkata",919748000000,1,1,1,0,4.1,789,4.1,31800,,"Murg Reshmi Kabab, Chicken Chaanp, Phirni, Rolls, Kebab","Seating Inside, Good for Large Groups, Courteous Service, Cleanliness, Good Quantity, Portion Size",750,22.5418017,88.3869552
The Biryani Inc.,https://www.zomato.com/kolkata/the-biryani-inc-kasba,"Biryani, Mughlai, Afghan","Kasba, Kolkata",,"15A, Swinhoe Lane, New Ballygunge, Kasba, Kolkata",917596000000,1,0,0,0,-,0,4.1,8899,,"Tangdi Chicken, Tangdi Kabab, Chicken Tikka Biryani, Phirni, Mutton Kasha, Raita","Best Food, Tasty, Worth the Money, Good Taste, Food Presentation, Combo",200,22.5044355,88.3721663
Al Baik Fast Food Corner,https://www.zomato.com/kolkata/al-baik-fast-food-corner-bara-bazar,"Biryani, Rolls, North Indian, Chinese, Kebab, Fast Food, Street Food, Roast Chicken","Bara Bazar, Kolkata",Opens at 11am,"54, Phears Lane, Bara Bazar, Kolkata",919837000000,1,1,0,0,-,0,3.9,79600,,"Chicken Afghani, Biryani Rice, Paneer Roll, Lachha Paratha, Rumali Roti, Chicken Kebab","Best Food, Good Taste, Contactless Delivery, Tamper Proof Packaging, Great Taste, Worth the Money",100,22.5801792,88.3528098
Crazy 4 Cakes,https://www.zomato.com/kolkata/crazy-4-cakes-park-street-area,"Bakery, Desserts","Park Street Area, Kolkata",Opens at 10am,"7/1, Russel Street, Park Street Area, Kolkata",919837000000,1,1,0,1,-,0,4.2,1017,,,"Cute Packaging, Extensive Menu, Food Presentation, Worth the Money, Customizable Food, Timely Service",200,52.0855618,-0.7272059
Koshe Kosha,https://www.zomato.com/kolkata/koshe-kosha-park-street-area,"Bengali, Desserts","Park Street Area, Kolkata",Opens at 11am,"1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata",919831000000,1,1,1,0,4.1,637,4.1,2572,Authentic Bengali food in an ambiance that pulls out the hidden Bengali in everyone!,"Saag Bhaja, Moshla Murgi, Aam Pora, Gondhoraj Ghol, Vetki Paturi, Aam Doi","Comfortable Seating Area, Relaxed Atmosphere, Good Staff, Awesome Food, Nice Ambience, Decoration",800,52.0855618,-0.7272059
Behrouz Biryani,https://www.zomato.com/kolkata/behrouz-biryani-ballygunge,"Biryani, Mughlai, Lucknowi, Hyderabadi, Kebab, North Indian, Desserts","Ballygunge, Kolkata",,"29, 1st Lane, Ballygunge, Kolkata",917700000000,1,0,0,0,-,0,4.2,3454,,,"Proper Packaging, Packing, Worth the Money, Timely Service, Great Portions, Flavour",400,22.5280337,88.3659084
Kareem's,https://www.zomato.com/kolkata/kareems-park-street-area,"North Indian, Mughlai, Biryani, Kebab, Beverages","Park Street Area, Kolkata",Opens at 12noon,"55 B, Mirza Ghalib Street, Park Street Area, Kolkata",919008000000,1,1,1,0,4.5,1918,4.2,8959,,"Matka Murgh, Karachi Mutton, Handi Gosht Biryani, Murgh Lahori, Chicken Kebab Platter, Lahori Chicken","Pocket Friendly Restaurant, Relaxed Atmosphere, Good for Large Groups, Quality of Food, Family Place, Polite Behaviour",1000,52.0855618,-0.7272059
6 Ballygunge Place,https://www.zomato.com/kolkata/6-ballygunge-place-ballygunge,"Bengali, Fast Food","Ballygunge, Kolkata",Opens at 12noon,"6, Ballygunge Place, Ballygunge, Kolkata",913325000000,1,1,1,0,4.5,3855,4.3,3219,Quintessential Bengali feel in terms of food and ambiance,"Lal Murgi, Bhetki Roll, Doi Murgi, Prawn Gravy, Doi Ilish, Begun Basanti","Location of the Restaurant, Buffet Variety and Quality, Authentic Food, Courteous Service, Rooftop Ambience, Themed Decor",600,22.5280337,88.3659084
Bhojohori Manna,https://www.zomato.com/kolkata/bhojohori-manna-esplanade,"Bengali, Desserts, Seafood, North Indian, Fast Food","Esplanade, Kolkata",Opens at 12noon,"11A, Sido Kanhu Dahar, Esplanade, Kolkata",919831000000,1,1,1,0,3.6,691,3.9,295,Bengali Food,"Jumbo Ilish, Pabda Shorshe, Chicken Dak Bunglow, Aam Doi, Dab Chingri, Katla Kalia","Gastronomical Experience, Good for Large Groups, Best Places, Food Quantity, Environment, Menu",700,22.563292,88.3503566
Bhikharam Chandmal,https://www.zomato.com/kolkata/bhikharam-chandmal-chowringhee,"North Indian, South Indian, Chinese","Chowringhee, Kolkata",Opens at 8am,"1, A.J.C. Bose Road, Chowringhee, Kolkata",913346000000,1,1,1,0,3.1,85,3.3,411,,,"Price, Service, Ambience, Quantity",300,22.5597635,88.3504718
Jai Hind Dhaba,https://www.zomato.com/kolkata/jai-hind-dhaba-paddapukur,"North Indian, Chinese, Rolls","Paddapukur, Kolkata",11am â€“ 4am (Today),"41/1A, Sarat Bose Road, Paddapukur, Kolkata",913325000000,1,1,1,0,4.3,2895,4,16000,,"Tangdi Chicken, Authentic Punjabi Food, Panneer Butter Masala, Egg Tarka, Roomali Roti, Rumali Roti","Very Cheap, Desi Vibes, Dhaba Feel, Late Night Delivery, Pocket Friendly, Friendly Staffs",450,22.50502445,88.30295777651463
6 Ballygunge Place Thali,https://www.zomato.com/kolkata/6-ballygunge-place-thali-kasba,"Bengali, Bangladeshi, Desserts, Beverages","Kasba, Kolkata",Opens at 12noon,"37/1, Rajdanga Main Road, Kasba, Kolkata",918276000000,1,1,1,0,4.2,865,4.1,4857,Quintessential Bengali Feel In Terms Of Food And Ambiance,"Chingri Thali, Rohu Fish, Tiger Prawn, Gondhoraj Ghol, Alu Bhaja, Authentic Bengali Food","Themed Decor, Ample Seating Area, Pocket Friendly Place, Family Place, Service Charge, Good Value",800,22.5044355,88.3721663
Hatari,https://www.zomato.com/kolkata/hatari-esplanade,"Chinese, Fast Food, Asian","Esplanade, Kolkata",,"Eden Garden Road, Netji Indoor Stadium, Eden Gardens, Esplanade, Kolkata",919163000000,1,0,0,0,-,0,4.3,541,,,,300,22.563292,88.3503566
India Restaurant,https://www.zomato.com/kolkata/india-restaurant-kidderpore,"Biryani, Mughlai, North Indian, Kebab, Chinese","Kidderpore, Kolkata",Opens at 11am,"34, Karl Marx Sarani, Kidderpore, Kolkata",918482000000,1,1,1,0,4.7,4571,4.2,26000,,"Pineapple Tandoori, Full Mutton Biryani, Kacchi Biryani, Mutton Galawti Kebab, Mutton Kadhai, Mutton Dakbangla","Classy Decor, Beautiful Interior, Good for Large Groups, Infrastructure, New Experience, Affordable",800,22.53538,88.3206094
Denzong Kitchen,https://www.zomato.com/kolkata/denzong-kitchen-hazra,"Momos, Chinese, Tibetan, Seafood","Hazra, Kolkata",Opens at 11:30am,"31A, Shyama Prasad Mukherjee Road, Hazra, Kolkata",918697000000,1,1,1,0,4.1,910,3.9,11500,,"Chicken Kothey, Chicken Shyapta, Chicken Schezwan Noodles, Dragon Chicken, Chicken Steamed Momo, Pan Fried Momo","Not very Crowded, Inexpensive, Cozy Ambiance, Great Recommendations, Polite Staff, Low Price",500,22.5227232,88.3499241
Adil Biryani Centre,https://www.zomato.com/kolkata/adil-biryani-centre-ballygunge,"Biryani, Kebab","Ballygunge, Kolkata",Opens at 12noon,"38, Shamsul Huda Road, Ballygunge, Kolkata",919876000000,1,1,0,0,-,0,4.1,28800,,,"Great Recommendations, Portion Size, Good Taste, Worth the Money, Great Portions, Good Food",100,22.5280337,88.3659084
New Paul Dhaba Veggie Hub,https://www.zomato.com/kolkata/new-paul-dhaba-veggie-hub-maniktala,"North Indian, Chinese, Biryani, Kebab, Rolls","Maniktala, Kolkata",Opens at 8am,"167A, Vivekanand Road, Maniktala, Kolkata",919007000000,1,1,1,0,4,444,4,24200,,"Shahi Paneer, Veg Biriyani, Chana Masala, Malai Kofta, Dal Makhni, Thali","Cashless Payments, Cozy Ambiance, Nice Taste, Polite Staff, Nice Food, Packing",300,22.5880896,88.3852834
Bhikharam Chandmal Rajuji,https://www.zomato.com/kolkata/bhikharam-chandmal-rajuji-1-bara-bazar,"North Indian, South Indian, Chinese","Bara Bazar, Kolkata",,"P 11, Lower Ground Floor, C I T Scheme L, Bara Bazar, Kolkata",919332000000,1,0,0,0,-,0,4.3,152,,,,100,22.5801792,88.3528098
Ebowl,https://www.zomato.com/kolkata/ebowl-esplanade,"North Indian, Chinese, Biryani, Fast Food, Beverages","Esplanade, Kolkata",,"3A, 1st Floor, Jawaharlal Nehru Road, Esplanade, Kolkata",918445000000,1,0,0,0,-,0,4,2059,,,,200,22.563292,88.3503566
I Love Haldiram,https://www.zomato.com/kolkata/i-love-haldiram-park-street-area,"Chinese, Fast Food, Street Food, North Indian, Shake, Mishti","Park Street Area, Kolkata",Opens at 7am,"12, Russel Street, Near Bombay Dying, Park Street Area, Kolkata",919340000000,1,1,1,1,3.1,111,3.8,2888,,,,400,52.0855618,-0.7272059
Mezban,https://www.zomato.com/kolkata/mezban-wellesley,"Biryani, Mughlai, Chinese, North Indian","Wellesley, Kolkata",Opens at 10am,"Ground Floor, B/6A/H/4, Muzaffar Ahmed Street, Ward 61, Wellesley, Kolkata",919074000000,1,1,1,0,4.1,1356,3.8,57600,,"Keema Mutter, Haleem, Mughlai Food, Phirni, Rumali Roti, Chaap","Gastronomical Experience, Comfortable Seating Area, Good for Large Groups, Packed on Weekends, Good Food Quality, Nice Service",600,22.5558499,88.3571668
Tewari Confectioners,https://www.zomato.com/kolkata/tewari-confectioners-minto-park,"Mishti, Street Food, Shake","Minto Park, Kolkata",Opens at 8am,"233/5, A.J.C. Bose Road, Kandhari House, Minto Park, Kolkata",913323000000,1,1,1,1,3.9,186,4.2,504,,,,200,22.541947399999998,88.35471347839723
Barbeque Nation,https://www.zomato.com/kolkata/barbeque-nation-wellesley,"BBQ, Chinese, Kebab, North Indian, Desserts","Wellesley, Kolkata",Opens at 12noon,"24, 1st Floor, Park Center Building, Wellesley, Kolkata",913369000000,1,1,1,0,4.9,5619,3.9,1507,An indoor barbecue concept venue offering a 'Do-It-Yourself' grilling experience at every table,"Mangalorean Fish Curry, Sheer Korma, Chicken Cashew, Pan Kulfi, Mutton Saag, Cajun Potatoes","Cost Suits the Pocket, Live Grill, Complimentary Drinks, Service is Great and Fast, Wait Staff, Efficient Service",1800,22.5558499,88.3571668
Hindusthan Sweets,https://www.zomato.com/kolkata/hindusthan-sweets-ballygunge,"Mishti, Street Food, Desserts","Ballygunge, Kolkata",Opens at 9:20am,"1B, Leela Roy Sarani, Ballygunge, Kolkata",919330000000,1,1,1,1,3.5,55,4.2,553,,,,200,22.5280337,88.3659084
Dhaba Junction,https://www.zomato.com/kolkata/dhaba-junction-ballygunge,"North Indian, Bengali","Ballygunge, Kolkata",,"51, Near Deys Medical Bus Stand, Bondel Road, Ballygunge, Kolkata",917009000000,1,1,1,0,3.8,188,3.9,15600,,,"Nice Foods and Great Service, Plenty of Vegetarian Options, Elegantly Decorated, Prompt Service, Good Taste, Worth the Money",400,22.5280337,88.3659084
Starbucks Coffee,https://www.zomato.com/kolkata/starbucks-coffee-park-street-area,"Cafe, Beverages, Fast Food, Desserts","Park Street Area, Kolkata",Opens at 8am,"57 A, Ground Floor, Park Mansions, Park Street Area, Kolkata",919137000000,1,1,1,0,4.3,1437,4.2,2240,,"Java Chip Frappuccino, White Chocolate Mocha, Frappuccino, Chicken Salad Sandwich, Hot Coffee, Latte","Charging Ports, Great for Birthdays, Quiet, Large Servings, Good Price, Fancy Crowd",600,52.0855618,-0.7272059
ATS  Arun Dhaba,https://www.zomato.com/kolkata/ats-arun-dhaba-theatre-road,North Indian,"Theatre Road, Kolkata",Opens at 9:30am,"27, Shakespeare Sarani, Outram Street, Theatre Road, Kolkata",918910000000,1,1,1,1,3.8,252,4,13400,,"Kachori Sabzi, Tawa Roti, Chai, Paneer Butter Masala, Gulab Jamun","Very Cheap, Pocket Friendly, Nice Food, Good Taste, Tasty, Good Food",350,22.5442409,88.3592663
Sher-e-Punjab,https://www.zomato.com/kolkata/sher-e-punjab-theatre-road,"North Indian, Chinese, Rolls","Theatre Road, Kolkata",Opens at 12:30pm,"7/1A, A.J.C. Bose Road, Near Kala Mandir, Theatre Road, Kolkata",919831000000,1,1,1,0,3.4,307,3.9,3190,,"Butter Chicken, Chicken Tandoori, Rolls, Kebabs, Fried Rice","Economical, Polite Staff, Tandoori, Location, Good Place, Ambiance",500,22.5442409,88.3592663
Shiraz Golden Restaurant,https://www.zomato.com/kolkata/shiraz-golden-restaurant-park-street-area,"Biryani, North Indian, Kebab, Chinese, Mughlai, Arabian, Rolls","Park Street Area, Kolkata",Opens at 12noon,"135, Park Street, Ground And Mezanine Floor, Ward 61, Park Street Area, Kolkata",918585000000,1,1,1,0,4.3,2615,4.1,9527,Biryani. Enough said!!,"Brain Masala, Chicken Chaanp, Mutton Pasinda, Mutton Chanp, Mutton Tikia, Tandoori Prawns","Gastronomical Experience, Relaxed Atmosphere, Pocket Friendly Place, Comfortable Seating Area, Servicing, Authentic Taste",800,52.0855618,-0.7272059
Biryani By Kilo,https://www.zomato.com/kolkata/biryani-by-kilo-golpark,"Biryani, Mughlai, Kebab, Hyderabadi","Golpark, Kolkata",Opens at 10am,"23, 13, Ground Floor, Kankulia, Gariahat Road, Near Kotak Mahindra Bank, Golpark, Kolkata",919555000000,1,1,1,0,4,196,4.1,4299,,"Matka Phirni, Wonderful Dessert, Chicken Ghee Roast, Tawa Fish, Seekh Kebab, Non Veg Platter","Quantity of Portion, Awesome Packaging, Awesome Spot to Hangout, Very Affordable, Fantastic Decoration, Clean and Hygienic Place",1000,22.513432100000003,88.40174450550997
Dariole,https://www.zomato.com/kolkata/dariole-theatre-road,"Bakery, Desserts, Beverages, Fast Food","Theatre Road, Kolkata",Opens at 9am,"42 A, Shakespeare Sarani, Theatre Road, Kolkata",913346000000,1,1,1,0,4,253,4.3,1967,,"Mocha Cake, Salted Caramel Pastry, Chocolate Cup, Blueberry Cheesecake, Cupcakes, Pastries","Coffee Date, Fancy Crowd, Cafe, Great Food, Prices, Decor",300,22.5442409,88.3592663
The Belgian Waffle Co.,https://www.zomato.com/kolkata/the-belgian-waffle-co-1-elgin,"Desserts, Beverages, Waffle","Elgin, Kolkata",12:37am â€“ 10:30pm (Today),"7B, DR Sishir Kumar Bose Sarani, Elgin, Kolkata",918911000000,1,1,1,0,4.4,682,4.2,2211,,"Blueberry Cream Cheese Waffle, Chocolate Overload, Red Velvet Waffle, Chocolate Waffle, Waffles, Shakes","Great Place, Flavour, Staff, Menu, Good Place, Service",300,22.537374800000002,88.34756170104649
Machhli Baba Fries,https://www.zomato.com/kolkata/machhli-baba-fries-chandni-chowk,"Bengali, North Indian, Kebab","Chandni Chowk, Kolkata",Opens at 7am,"71, First Floor, Bentinck Street, Faraday House, Chandni Chowk, Kolkata",916289000000,1,1,0,0,-,0,4.2,1314,,,,150,22.5640235,88.3608177
Rayyan Biryani,https://www.zomato.com/kolkata/rayyan-biryani-taltala,"Biryani, Rolls, Mughlai, Beverages","Taltala, Kolkata",,"6A, Muzaffar Ahmed Street, Taltala, Kolkata",919038000000,1,1,1,0,3.9,907,3.6,44400,,,"Nice Crowd, Drive through, Comfort Food, Elegantly Decorated, Great Recommendations, Pocket Friendly",300,22.474209950000002,88.35512632362978
New Arsalan Biryani,https://www.zomato.com/kolkata/new-arsalan-biryani-picnic-garden,Biryani,"Picnic Garden, Kolkata",Opens at 12noon,"194/2E, Picnic Garden, Kolkata",919304000000,1,1,0,0,-,0,3.9,998,,,,100,22.5259951,88.3892586
Natural Ice Cream,https://www.zomato.com/kolkata/natural-ice-cream-park-street-area,"Ice Cream, Desserts","Park Street Area, Kolkata",Opens at 11am,"77/1/A, Ground Floor, Near West Bengal Board, Park Street Area, Kolkata",913346000000,1,1,1,1,4.9,2419,4.5,9632,,"Chiku Shake, Chocobite, Choco Bite, Sitafal Ice Cream, Coffee Walnut, Chocolate Almond","Bank for the Buck, Totally Worth it, Pretty Decor, Table Service, Pretty Place, Pocket Friendly",300,52.0855618,-0.7272059
Saptapadi,https://www.zomato.com/kolkata/saptapadi-hindustan-park,"Bengali, Beverages, Desserts","Hindustan Park, Kolkata",Opens at 11:30am,"49 B, Purna Das Road, Hindustan Park, Kolkata",918421000000,1,1,1,0,4.4,1720,4.1,748,,"Moori Fish Stick, Ice Cream Patishapta, Jumbo Thali, Kancha Lonka Murgi, Luchi Chholar Dal, Kosha Murgi","Budget is Also Friendly, Fusion Menu, Great Food Great Service, Fusion Food, Fusion Dishes, Song",850,22.5177017,88.3632073
Gangotri Sweets & Snacks,https://www.zomato.com/kolkata/gangotri-sweets-snacks-ballygunge,"Mishti, Fast Food","Ballygunge, Kolkata",Opens at 8am,"P17A, Ashutosh Choudhury Avenue, Near Birla Mandir, Ballygunge, Kolkata",913346000000,1,1,0,1,3.6,135,4.2,12400,,"Badam Barfi, Club Kachori, Rasmalai, Dhokla, Sweets, Gulab Jamun","Pocket Friendly, Great Recommendations, Cleanliness, Contactless Delivery, Packing, Price",200,22.5280337,88.3659084
Santa Delivers,https://www.zomato.com/kolkata/santa-delivers-kasba,"North Indian, Biryani, Rolls, Wraps, Mughlai","Kasba, Kolkata",12noon â€“ 4am (Today),"15 Swinhoe Lane, Kasba, Kolkata",917596000000,1,1,0,0,-,0,4.1,13900,,"Malai Kofta, Chicken Butter Masala, Kulcha, Butter Naan, Kebabs, Rolls","Quick Delivery, Awesome Food, Amazing Food, Excellent Food, Tasty Food, Nice Food",200,22.5044355,88.3721663
The Yellow Straw,https://www.zomato.com/kolkata/the-yellow-straw-minto-park,"Healthy Food, Salad, Juices","Minto Park, Kolkata",Opens at 8am,"7/1, Central Plaza, Sarat Bose Road, Opposite HDFC Bank, Minto Park, Kolkata",913340000000,1,1,1,0,3.8,120,4.2,3923,,"Fruit Juices, Shakes, Sandwich, Pasta, Pizza","Polite Staff, Environment, Menu, Prices, Quantity, Service",250,22.541947399999998,88.35471347839723
Flurys,https://www.zomato.com/kolkata/flurys-park-street-area,"Bakery, Desserts, Fast Food, Coffee","Park Street Area, Kolkata",Opens at 8am,"18, Park Street Area, Kolkata",913340000000,1,1,1,0,4.2,4779,4.4,5173,The legendary breakfast place on the Calcutta famous Park Street corner.,"Viennese Coffee, Bacon Strip, Chocolate Cube, Almond Pastry, Baba Cake, Moccachino","Breakfast Joint, Classy Place, Classy Decor, Courteous Service, Luxury, Peaceful Place",300,52.0855618,-0.7272059
Sharma Snacks,https://www.zomato.com/kolkata/sharma-snacks-1-kasba,"Mishti, Street Food, South Indian, North Indian","Kasba, Kolkata",Opens at 7am,"39/1, Bose Pukur Road, Kasba, Kolkata",919681000000,1,1,1,0,3.4,89,3.9,13800,,"Samosa Chatni, Hinger Kochuri, Jalebi, Lassi, Thali, Tea","Perfect Presentation, Young Crowd, Great Portions, Elaborate Menu, Timely Service, Customizable Food",300,22.5044355,88.3721663
Arman Biryani,https://www.zomato.com/kolkata/arman-biryani-1-picnic-garden,Biryani,"Picnic Garden, Kolkata",12noon â€“ 2am (Today),"103/1, Picnic Garden, Kolkata",919904000000,1,1,1,0,3.9,463,3.9,16400,,,"Economical, Casual Seating Area, Cordial Staff, Great Recommendations, Amazing Food, Great Ambiance",300,22.5259951,88.3892586
Kaligodam,https://www.zomato.com/kolkata/kaligodam-1-bara-bazar,"Mishti, Desserts, Street Food, Bengali, North Indian","Bara Bazar, Kolkata",,"16, Mallick Street, Jorasanko, Bara Bazar, Kolkata",919831000000,1,0,0,0,-,0,4.1,3697,,"Samosa, Dosa, Sweets, Chutney","Customizable Food, Elaborate Menu, Fresh Food, Good Quality, Price",50,22.5801792,88.3528098
Roll It Out,https://www.zomato.com/kolkata/roll-it-out-park-street-area,"Rolls, Chinese, Italian, Fast Food","Park Street Area, Kolkata",11am â€“ 1am (Today),"2, Middle Row, Park Street Area, Kolkata",916294000000,1,1,1,0,3.8,142,3.6,4277,,"Lunch Meal, Spicy Food, Hakka Noodles, Soup, Fried Rice","Pocket Friendly, Weekend Brunch, Good Wifi, Customizable Food, Student Crowd, Elaborate Menu",350,52.0855618,-0.7272059
Banchharam's,https://www.zomato.com/kolkata/banchharams-golpark,"Mishti, Desserts","Golpark, Kolkata",Opens at 9am,"19, Gariahat Road, Golpark, Kolkata",918698000000,1,1,0,1,-,0,4.1,592,,"Sandesh, Tart, Samosa, Sweets",,50,22.513432100000003,88.40174450550997
